Episode 619 | joint_return= 2.00 | mean_joint_return= -0.50 | eps=0.839 | loss= 0.0083 | per_agent=[1.0, 1.0]

Episode 620 | joint_return= -2.00 | mean_joint_return= -0.70 | eps=0.837 | loss= 0.0072 | per_agent=[-1.0, -1.0]

Episode 621 | joint_return= -4.00 | mean_joint_return= -0.90 | eps=0.836 | loss= 0.0063 | per_agent=[-2.0, -2.0]

Episode 622 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.834 | loss= 0.0096 | per_agent=[0.0, 0.0]

Episode 623 | joint_return= -4.00 | mean_joint_return= -1.10 | eps=0.833 | loss= 0.0075 | per_agent=[-2.0, -2.0]

Episode 624 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.832 | loss= 0.0104 | per_agent=[-1.0, -1.0]

Episode 625 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.830 | loss= 0.0073 | per_agent=[0.0, 0.0]

Episode 626 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.829 | loss= 0.0060 | per_agent=[-1.0, -1.0]

Episode 627 | joint_return= 0.00 | mean_joint_return= -1.40 | eps=0.828 | loss= 0.0066 | per_agent=[0.0, 0.0]

Episode 628 | joint_return= -4.00 | mean_joint_return= -1.40 | eps=0.826 | loss= 0.0072 | per_agent=[-2.0, -2.0]

Episode 629 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.825 | loss= 0.0082 | per_agent=[0.0, 0.0]

Episode 630 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.824 | loss= 0.0072 | per_agent=[0.0, 0.0]

Episode 631 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.822 | loss= 0.0074 | per_agent=[-1.0, -1.0]

Episode 632 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.821 | loss= 0.0084 | per_agent=[-1.0, -1.0]

Episode 633 | joint_return= -2.00 | mean_joint_return= -1.40 | eps=0.820 | loss= 0.0096 | per_agent=[-1.0, -1.0]

Episode 634 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.818 | loss= 0.0097 | per_agent=[0.0, 0.0]

Episode 635 | joint_return= 2.00 | mean_joint_return= -1.10 | eps=0.817 | loss= 0.0078 | per_agent=[1.0, 1.0]

Episode 636 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.815 | loss= 0.0075 | per_agent=[0.0, 0.0]

Episode 637 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.814 | loss= 0.0131 | per_agent=[0.0, 0.0]

Episode 638 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.813 | loss= 0.0134 | per_agent=[0.0, 0.0]

Episode 639 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.811 | loss= 0.0132 | per_agent=[0.0, 0.0]

Episode 640 | joint_return= 2.00 | mean_joint_return= -0.90 | eps=0.810 | loss= 0.0129 | per_agent=[1.0, 1.0]

Episode 641 | joint_return= -2.00 | mean_joint_return= -0.80 | eps=0.809 | loss= 0.0112 | per_agent=[-1.0, -1.0]

Episode 642 | joint_return= 0.00 | mean_joint_return= -0.80 | eps=0.807 | loss= 0.0136 | per_agent=[0.0, 0.0]

Episode 643 | joint_return= -2.00 | mean_joint_return= -0.70 | eps=0.806 | loss= 0.0136 | per_agent=[-1.0, -1.0]

Episode 644 | joint_return= -4.00 | mean_joint_return= -0.80 | eps=0.805 | loss= 0.0100 | per_agent=[-2.0, -2.0]

Episode 645 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.803 | loss= 0.0117 | per_agent=[-1.0, -1.0]

Episode 646 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.802 | loss= 0.0126 | per_agent=[-1.0, -1.0]

Episode 647 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.800 | loss= 0.0105 | per_agent=[0.0, 0.0]

Episode 648 | joint_return= -2.00 | mean_joint_return= -0.80 | eps=0.799 | loss= 0.0110 | per_agent=[-1.0, -1.0]

Episode 649 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.798 | loss= 0.0103 | per_agent=[-1.0, -1.0]

Episode 650 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.796 | loss= 0.0114 | per_agent=[-1.0, -1.0]

Episode 651 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.795 | loss= 0.0152 | per_agent=[0.0, 0.0]

Episode 652 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.794 | loss= 0.0078 | per_agent=[-1.0, -1.0]

Episode 653 | joint_return= -2.00 | mean_joint_return= -0.90 | eps=0.792 | loss= 0.0088 | per_agent=[-1.0, -1.0]

Episode 654 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.791 | loss= 0.0109 | per_agent=[0.0, 0.0]

Episode 655 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.790 | loss= 0.0105 | per_agent=[-1.0, -1.0]

Episode 656 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.788 | loss= 0.0110 | per_agent=[-1.0, -1.0]

Episode 657 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.787 | loss= 0.0112 | per_agent=[0.0, 0.0]

Episode 658 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.786 | loss= 0.0122 | per_agent=[-1.0, -1.0]

Episode 659 | joint_return= -2.00 | mean_joint_return= -1.40 | eps=0.784 | loss= 0.0132 | per_agent=[-1.0, -1.0]

Episode 660 | joint_return= 0.00 | mean_joint_return= -1.50 | eps=0.783 | loss= 0.0140 | per_agent=[0.0, 0.0]

Episode 661 | joint_return= -2.00 | mean_joint_return= -1.50 | eps=0.781 | loss= 0.0105 | per_agent=[-1.0, -1.0]

Episode 662 | joint_return= 2.00 | mean_joint_return= -1.40 | eps=0.780 | loss= 0.0136 | per_agent=[1.0, 1.0]

Episode 663 | joint_return= -2.00 | mean_joint_return= -1.40 | eps=0.779 | loss= 0.0109 | per_agent=[-1.0, -1.0]

Episode 664 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.777 | loss= 0.0089 | per_agent=[0.0, 0.0]

